STATION,TREATMENT,REPLICATE,TIME,oxygen.corrected,SCOC,R2
ST435,C,C2,4,342.21,-0.993374999999999,0.8501685
ST177,C,C2,4,349.52,-1.07666,0.9473
ST435,C,C4,4,341.70,-1.067192,0.9661139
ST177,C,C4,4,304.12,-2.229339,0.8203
ST435,C,C5,4,315.14,-1.689192,0.9530307
ST177,C,C5,4,281.24,-3.378425,0.9355
ST177,IA,IA1,4,244.07,-3.967875,0.9576
ST177,IA,IA2,4,250.79,-4.278027,0.9857
ST177,IA,IA4,4,254.68,-3.571152,0.899
ST435,IA,IA5,4,333.53,-1.337294,0.9318664
ST177,IA,IA5,4,256.82,-3.97086333333333,0.9461
ST435,PP,PP1,4,310.72,-1.666116,0.9196543
ST177,PP,PP1,4,279.3,-3.28276,0.8173
ST177,PP,PP2,4,293.13,-3.413562,0.9716
ST177,PP,PP3,4,251.61,-5.0561,0.9125
ST435,PP,PP4,4,308.18,-1.32506,0.8288598
ST177,PP,PP4,4,249.94,-4.61020933333333,0.8717
ST435,PP,PP5,4,313.13,-1.34392,0.8850354
ST177,PP,PP5,4,216.05,-5.859106,0.9363
