microns,ST177,ST407,ST435
2000,0,0,0
1821.89,0,0,0
1659.64,0,0,0
1511.84,0,0,0
1377.2,0,0,0
1254.55,0,0,0
1142.83,0,0,0
1041.05,0,0,0
948.338,0,0,0
863.883,0,0,0
786.949,0,0,0
716.866,0,0,0
653.025,0,0,0
594.869,0,0,0
541.892,0,0,0
493.633,0,0,0
449.672,0,0,0
409.626,0,0,0
373.147,0,0,0
339.916,0,0,0
309.644,0,0,0
282.068,0,0,0
256.948,0,0,0
234.066,0,0,0
213.221,0,0,0
194.232,0,0,0
176.935,0,0,0
161.177,0,0,0
146.824,0,0,0
133.748,0,0,0
121.837,0,0,0
110.987,0,0,0
101.103,0,0,0
92.0988,0,0,0
83.8969,0,0,0
76.4253,0,0,0
69.6192,0,0,0
63.4192,0,0,0.0700027
57.7713,0,0,0.871797
52.6264,0.001081,0,1.9761
47.9397,0.0195764,0,1.4632
43.6704,0.110401,0,0.788724
39.7813,0.300555,0,1.18814
36.2385,0.496724,0,2.18993
33.0113,0.588024,0,2.47266
30.0714,0.619509,0,2.08928
27.3934,0.721651,0,1.71437
24.9538,1.06716,0,1.79593
22.7315,1.75418,0,2.44104
20.7071,2.76138,0.0519888,3.37131
18.863,3.83191,0.820794,4.26425
17.1832,4.68161,2.72474,4.93315
15.6529,5.17172,4.13502,5.22498
14.2589,5.31945,4.61219,5.16414
12.9891,5.2491,4.67555,4.89969
11.8323,5.06814,4.53407,4.58246
10.7786,4.82902,4.44599,4.30141
9.81869,4.55179,4.44725,4.06972
8.94427,4.24782,4.46215,3.86496
8.14773,3.94324,4.47423,3.65653
7.42212,3.65545,4.4172,3.42202
6.76114,3.38859,4.27654,3.15205
6.15902,3.13509,4.04383,2.84785
5.61052,2.892,3.72608,2.5191
5.11087,2.66419,3.35617,2.18103
4.65572,2.45749,2.97167,1.8537
4.2411,2.27325,2.62608,1.55803
3.8634,2.10664,2.35644,1.31103
3.51934,1.95506,2.18646,1.12283
3.20592,1.81831,2.11642,0.994642
2.92042,1.69719,2.12505,0.919855
2.66033,1.58815,2.18113,0.88601
2.42342,1.48602,2.2447,0.877578
2.2076,1.38671,2.28229,0.878784
2.011,1.28901,2.26792,0.875728
1.8319,1.19253,2.1884,0.858163
1.66876,1.09583,2.0428,0.820091
1.52015,0.997381,1.83936,0.759845
1.38477,0.897,1.59461,0.679596
1.26145,0.797087,1.32826,0.584456
1.14911,0.700124,1.06278,0.48175
1.04677,0.608432,0.81749,0.379315
0.953552,0.523507,0.608656,0.284484
0.868632,0.447743,0.446937,0.203619
0.791275,0.382888,0.336299,0.141814
0.720807,0.329766,0.277273,0.102479
0.656615,0.287618,0.264564,0.0848759
0.59814,0.255137,0.286601,0.0843204
0.544872,0.231328,0.327398,0.0948832
0.496347,0.214914,0.370064,0.110814
0.452145,0.20446,0.401353,0.127511
0.411878,0.197422,0.41458,0.141876
0.375198,0.191948,0.409661,0.151956
0.341784,0.186086,0.390153,0.15643
0.311346,0.17884,0.360243,0.154405
0.283619,0.168551,0.321825,0.145182
0.258361,0.154635,0.276937,0.129207
0.235353,0.137232,0.231392,0.109451
0.214393,0.118092,0.19041,0.0895787
0.1953,0.0987168,0.155964,0.0720569
0.177907,0.0802505,0.12741,0.0576157
0.162064,0.0630897,0.102658,0.0457122
0.147631,0.0477088,0.0806365,0.0358919
0.134483,0.0344777,0.061371,0.0279757
0.122507,0.0235303,0.0450331,0.0217597
0.111597,0.0146454,0.0314865,0.016923
0.101658,0.00776723,0.0204256,0.0131103
0.0926052,0.00312281,0.0120292,0.0101705
0.0843581,0.000830615,0.0064867,0.00798829
0.0768455,0.000112514,0.00331146,0.00637728
0.070002,5.54268E-06,0.00166159,0.00510767
0.0637679,0,0.000839428,0.00395625
0.0580889,0,0.000416551,0.002785
0.0529158,0,0.000180943,0.0015248
0.0482033,0,6.32579E-05,0.000578475
0.0439105,0,2.32784E-05,0.00021885
0.04,0,1.47708E-05,0.000150546
