"","CORE","TREATMENT","STATION","VOL.m3","AREA.m2","slope.nitrite","slope.Nitrate","slope.Phosphate","slope.Silicate","nitriteFLUX","NitrateFLUX","PhosphateFLUX","SilicateFLUX"
"1","C1","C","ST177",0.001014833910877,0.008011846664817,-0.004,-2.36075,-0.14200167575,13.057908426,-0.000126666666666689,-0.0747570833333467,-0.00449671973208414,0.413500433490073
"2","C2","C","ST177",0.001057669526709,0.007853981633974,-0.013,-2.013,-0.112063218,12.247069535,-0.000437666666666874,-0.0677710000000322,-0.00377279500600179,0.412318007678529
"3","C3","C","ST177",0.001054893144201,0.008011846664817,-0.00350000000000001,-2.644,-0.161502873,13.506598491,-0.000115208333333344,-0.0870316666666746,-0.00531613623625049,0.44459220032879
"4","C4","C","ST177",0.000895127711602,0.007238229473871,-0.01075,-3.64025,-0.17935608175,15.722647896,-0.00033235416666665,-0.112544395833327,-0.00554509219410388,0.486091864117974
"5","C5","C","ST177",0.000967510006341,0.007238229473871,-0.01075,-2.617,-0.177982758,12.487055926,-0.000359229166666757,-0.0874514166666887,-0.0059475904965015,0.417275785527271
"6","IA1","IA","ST177",0.001001480833102,0.008011846664817,0.00175,-1.832,-0.221929118,14.605603724,5.4687499999993e-05,-0.0572499999999929,-0.00693528493749914,0.456425116374943
"7","IA2","IA","ST177",0.00099300167453,0.007697687399458,0.00374999999999999,-2.1725,-0.17715876375,20.923342512,0.00012093749999999,-0.0700631249999942,-0.00571337013093704,0.674777796011945
"8","IA3","IA","ST177",0.001028924215728,0.007697687399458,0.000999999999999995,-2.07625,-0.15628424275,17.163022924,3.3416666666681e-05,-0.0693813541666969,-0.00522249844523144,0.573531016043916
"9","IA4","IA","ST177",0.00083640977411,0.007088218424662,-0.00200000000000001,-1.99675,-0.169193486,16.695380556,-5.89999999999921e-05,-0.0589041249999919,-0.00499120783699931,0.492513726401932
"10","IA5","IA","ST177",0.000911424199894,0.00693977817178,-0.00425000000000001,-3.1335,-0.26450215425,14.124717578,-0.000139541666666702,-0.102883250000026,-0.00868448739787717,0.463761560477782
"11","PP1","PP","ST177",0.000921468395206,0.007088218424662,-0.000500000000000006,-0.497750000000003,-0.0450450190000001,13.979264361,-1.62499999999991e-05,-0.016176874999999,-0.00146396311749991,0.45432609173247
"12","PP2","PP","ST177",0.001069978548525,0.007697687399458,0.00475,-1.85925,-0.169193486,13.993421503,0.000165062500000052,-0.0646089375000205,-0.00587947363850186,0.486271397229404
"13","PP3","PP","ST177",0.001169159413997,0.007542963961269,0.0085,-1.426,-0.15463625425,13.212038601,0.000329375000000086,-0.0552575000000146,-0.00599215485218908,0.511966495788884
"14","PP4","PP","ST177",0.001018177612658,0.007238229473871,0.00149999999999999,-2.02875,-0.15381226,14.55217193,5.27500000000074e-05,-0.0713443750000103,-0.00540906447666745,0.511751379538407
"15","PP5","PP","ST177",0.001050986311937,0.007542963961269,0.00499999999999999,-2.1545,-0.1565589075,16.08890686,0.000174166666666697,-0.07504841666668,-0.00545346861125097,0.560430255623432
"16","C1","C","ST435",0.000793172819817,0.008011846664817,-0.00375000000000001,0.375499999999999,0.0216985152499998,8.129167941,-9.2812500000014e-05,0.00929362500000134,0.000537038252437575,0.20119690653978
"17","C2","C","ST435",0.000981747704247,0.007853981633974,-0.00875000000000001,0.175499999999999,0.0373544059999998,6.570740616,-0.00027343750000007,0.00548437500000137,0.00116732518750029,0.205335644250052
"18","C3","C","ST435",0.000961421599778,0.008011846664817,-0.01025,0.444749999999998,0.0263678159999999,8.235803188,-0.000307499999999988,0.0133424999999994,0.000791034479999964,0.24707409563999
"19","C4","C","ST435",0.000861349307391,0.007238229473871,-0.00325000000000001,0.395499999999999,0.0444956894999999,7.859040538,-9.66875000000397e-05,0.0117661250000048,0.00132374676262554,0.233806456005595
"20","C5","C","ST435",0.000839634618969,0.007238229473871,-0.0185,0.400499999999999,0.0247198274999999,8.734956614,-0.000536499999999977,0.0116144999999995,0.000716874997499965,0.253313741805989
"21","IA1","IA","ST435",0.001001480833102,0.008011846664817,-0.018,0.4375,0.0642715514999999,6.904118476,-0.00056249999999993,0.0136718749999983,0.00200848598437475,0.215753702374973
"22","IA2","IA","ST435",0.001016094736729,0.007697687399458,-0.00175000000000001,0.537249999999998,-0.0433970305,8.448160318,-5.77500000000311e-05,0.0177292500000094,-0.00143210200650077,0.278789290494149
"23","IA3","IA","ST435",0.000962210924932,0.007697687399458,0.00224999999999999,0.398499999999999,0.00933860149999989,8.900503839,7.03124999999814e-05,0.0124531249999967,0.000291831296874921,0.278140744968678
"24","IA4","IA","ST435",0.000829321555685,0.007088218424662,-0.0105,0.552749999999999,-0.0546582852500001,7.973896061,-0.000307124999999832,0.0161679374999911,-0.00159875484356163,0.233236459784122
"25","IA5","IA","ST435",0.00081889382427,0.00693977817178,-0.01675,0.662749999999999,-0.0288397987500002,10.742074004,-0.000494124999999976,0.019551124999999,-0.000850774063124964,0.316891183117984
"26","PP1","PP","ST435",0.000765527589863,0.007088218424662,-0.01075,1.50725,0.10739391725,8.756420668,-0.000290249999999812,0.0406957499999736,0.00289963576574811,0.236423358035847
"27","PP2","PP","ST435",0.000769768739946,0.007697687399458,-0.00850000000000001,0.618499999999997,-0.0131839080000001,7.054366854,-0.000212500000000055,0.0154625000000039,-0.000329597700000088,0.176359171350046
"28","PP3","PP","ST435",0.000942870495159,0.007542963961269,-0.00525000000000001,0.579749999999998,-0.00961326625000013,6.284172661,-0.000164062500000066,0.0181171875000072,-0.000300414570312624,0.196380395656328
"29","PP4","PP","ST435",0.000687631800018,0.007238229473871,-0.00875000000000001,0.988999999999999,0.0530102967499997,9.145970414,-0.000207812500000077,0.0234887500000087,0.00125899454781296,0.217216797332581
"30","PP5","PP","ST435",0.000807097143856,0.007542963961269,-0.011,1.023,-0.0653702105000002,8.31389581,-0.00029425000000008,0.0273652500000073,-0.00174865313087548,0.22239671291756
