CORE,TREATMENT,STATION,NUTRIENT,FLUX
C1,C,ST177,Nitrite,-0.000126666666667
C2,C,ST177,Nitrite,-0.000437666666667
C3,C,ST177,Nitrite,-0.000115208333333
C4,C,ST177,Nitrite,-0.000332354166667
C5,C,ST177,Nitrite,-0.000359229166667
IA1,IA,ST177,Nitrite,5.4687499999993E-05
IA2,IA,ST177,Nitrite,0.0001209375
IA3,IA,ST177,Nitrite,3.3416666666681E-05
IA4,IA,ST177,Nitrite,-5.89999999999921E-05
IA5,IA,ST177,Nitrite,-0.000139541666667
PP1,PP,ST177,Nitrite,-1.62499999999991E-05
PP2,PP,ST177,Nitrite,0.0001650625
PP3,PP,ST177,Nitrite,0.000329375
PP4,PP,ST177,Nitrite,5.27500000000074E-05
PP5,PP,ST177,Nitrite,0.000174166666667
C1,C,ST435,Nitrite,-9.2812500000014E-05
C2,C,ST435,Nitrite,-0.0002734375
C3,C,ST435,Nitrite,-0.0003075
C4,C,ST435,Nitrite,-9.66875000000397E-05
C5,C,ST435,Nitrite,-0.0005365
IA1,IA,ST435,Nitrite,-0.0005625
IA2,IA,ST435,Nitrite,-5.77500000000311E-05
IA3,IA,ST435,Nitrite,7.03124999999814E-05
IA4,IA,ST435,Nitrite,-0.000307125
IA5,IA,ST435,Nitrite,-0.000494125
PP1,PP,ST435,Nitrite,-0.00029025
PP2,PP,ST435,Nitrite,-0.0002125
PP3,PP,ST435,Nitrite,-0.0001640625
PP4,PP,ST435,Nitrite,-0.0002078125
PP5,PP,ST435,Nitrite,-0.00029425
C1,C,ST177,Nitrate,-0.074757083333347
C2,C,ST177,Nitrate,-0.067771000000032
C3,C,ST177,Nitrate,-0.087031666666675
C4,C,ST177,Nitrate,-0.112544395833327
C5,C,ST177,Nitrate,-0.087451416666689
IA1,IA,ST177,Nitrate,-0.057249999999993
IA2,IA,ST177,Nitrate,-0.070063124999994
IA3,IA,ST177,Nitrate,-0.069381354166697
IA4,IA,ST177,Nitrate,-0.058904124999992
IA5,IA,ST177,Nitrate,-0.102883250000026
PP1,PP,ST177,Nitrate,-0.016176874999999
PP2,PP,ST177,Nitrate,-0.064608937500021
PP3,PP,ST177,Nitrate,-0.055257500000015
PP4,PP,ST177,Nitrate,-0.07134437500001
PP5,PP,ST177,Nitrate,-0.07504841666668
C1,C,ST435,Nitrate,0.009293625000001
C2,C,ST435,Nitrate,0.005484375000001
C3,C,ST435,Nitrate,0.013342499999999
C4,C,ST435,Nitrate,0.011766125000005
C5,C,ST435,Nitrate,0.0116145
IA1,IA,ST435,Nitrate,0.013671874999998
IA2,IA,ST435,Nitrate,0.017729250000009
IA3,IA,ST435,Nitrate,0.012453124999997
IA4,IA,ST435,Nitrate,0.016167937499991
IA5,IA,ST435,Nitrate,0.019551124999999
PP1,PP,ST435,Nitrate,0.040695749999974
PP2,PP,ST435,Nitrate,0.015462500000004
PP3,PP,ST435,Nitrate,0.018117187500007
PP4,PP,ST435,Nitrate,0.023488750000009
PP5,PP,ST435,Nitrate,0.027365250000007
C1,C,ST177,Phosphate,-0.004496719732084
C2,C,ST177,Phosphate,-0.003772795006002
C3,C,ST177,Phosphate,-0.00531613623625
C4,C,ST177,Phosphate,-0.005545092194104
C5,C,ST177,Phosphate,-0.005947590496502
IA1,IA,ST177,Phosphate,-0.006935284937499
IA2,IA,ST177,Phosphate,-0.005713370130937
IA3,IA,ST177,Phosphate,-0.005222498445231
IA4,IA,ST177,Phosphate,-0.004991207836999
IA5,IA,ST177,Phosphate,-0.008684487397877
PP1,PP,ST177,Phosphate,-0.0014639631175
PP2,PP,ST177,Phosphate,-0.005879473638502
PP3,PP,ST177,Phosphate,-0.005992154852189
PP4,PP,ST177,Phosphate,-0.005409064476667
PP5,PP,ST177,Phosphate,-0.005453468611251
C1,C,ST435,Phosphate,0.000537038252438
C2,C,ST435,Phosphate,0.0011673251875
C3,C,ST435,Phosphate,0.00079103448
C4,C,ST435,Phosphate,0.001323746762626
C5,C,ST435,Phosphate,0.0007168749975
IA1,IA,ST435,Phosphate,0.002008485984375
IA2,IA,ST435,Phosphate,-0.001432102006501
IA3,IA,ST435,Phosphate,0.000291831296875
IA4,IA,ST435,Phosphate,-0.001598754843562
IA5,IA,ST435,Phosphate,-0.000850774063125
PP1,PP,ST435,Phosphate,0.002899635765748
PP2,PP,ST435,Phosphate,-0.0003295977
PP3,PP,ST435,Phosphate,-0.000300414570313
PP4,PP,ST435,Phosphate,0.001258994547813
PP5,PP,ST435,Phosphate,-0.001748653130875
C1,C,ST177,Silicate,0.413500433490073
C2,C,ST177,Silicate,0.412318007678529
C3,C,ST177,Silicate,0.44459220032879
C4,C,ST177,Silicate,0.486091864117974
C5,C,ST177,Silicate,0.417275785527271
IA1,IA,ST177,Silicate,0.456425116374943
IA2,IA,ST177,Silicate,0.674777796011945
IA3,IA,ST177,Silicate,0.573531016043916
IA4,IA,ST177,Silicate,0.492513726401932
IA5,IA,ST177,Silicate,0.463761560477782
PP1,PP,ST177,Silicate,0.45432609173247
PP2,PP,ST177,Silicate,0.486271397229404
PP3,PP,ST177,Silicate,0.511966495788884
PP4,PP,ST177,Silicate,0.511751379538407
PP5,PP,ST177,Silicate,0.560430255623432
C1,C,ST435,Silicate,0.20119690653978
C2,C,ST435,Silicate,0.205335644250052
C3,C,ST435,Silicate,0.24707409563999
C4,C,ST435,Silicate,0.233806456005595
C5,C,ST435,Silicate,0.253313741805989
IA1,IA,ST435,Silicate,0.215753702374973
IA2,IA,ST435,Silicate,0.278789290494149
IA3,IA,ST435,Silicate,0.278140744968678
IA4,IA,ST435,Silicate,0.233236459784122
IA5,IA,ST435,Silicate,0.316891183117984
PP1,PP,ST435,Silicate,0.236423358035847
PP2,PP,ST435,Silicate,0.176359171350046
PP3,PP,ST435,Silicate,0.196380395656328
PP4,PP,ST435,Silicate,0.217216797332581
PP5,PP,ST435,Silicate,0.22239671291756
